"Level.4","CellId","ImageId"
"other",1,"image_1"
"Reg",2,"image_1"
"Reg",3,"image_1"
"other",4,"image_1"
"Reg",5,"image_1"
"Reg",6,"image_1"
"Reg",7,"image_1"
"Cytotoxic",8,"image_1"
"Cytotoxic",9,"image_1"
"Cytotoxic",10,"image_1"
"Cytotoxic",11,"image_1"
"other",12,"image_1"
"Reg",13,"image_1"
"Reg",14,"image_1"
"Cytotoxic",15,"image_1"
"Cytotoxic",16,"image_1"
"Reg",17,"image_1"
"Cytotoxic",18,"image_1"
"Cytotoxic",19,"image_1"
"Cytotoxic",20,"image_1"
"Reg",21,"image_1"
"Reg",22,"image_1"
"Reg",23,"image_1"
"Reg",24,"image_1"
"Cytotoxic",25,"image_1"
"Reg",26,"image_1"
"Cytotoxic",27,"image_1"
"Cytotoxic",28,"image_1"
"Reg",29,"image_1"
"Cytotoxic",30,"image_1"
"Cytotoxic",31,"image_1"
"Reg",32,"image_1"
"Cytotoxic",33,"image_1"
"Reg",34,"image_1"
"other",35,"image_1"
"Cytotoxic",36,"image_1"
"Cytotoxic",37,"image_1"
"Reg",38,"image_1"
"Cytotoxic",39,"image_1"
"Cytotoxic",40,"image_1"
"Cytotoxic",41,"image_1"
"Cytotoxic",42,"image_1"
"Cytotoxic",43,"image_1"
"Cytotoxic",44,"image_1"
"Tumor Cells",45,"image_1"
"Cytotoxic",46,"image_1"
"Cytotoxic",47,"image_1"
"Cytotoxic",48,"image_1"
"Cytotoxic",49,"image_1"
"Cytotoxic",50,"image_1"
"Reg",51,"image_1"
"Cytotoxic",52,"image_1"
"Reg",53,"image_1"
"Cytotoxic",54,"image_1"
"Cytotoxic",55,"image_1"
"Cytotoxic",56,"image_1"
"Cytotoxic",57,"image_1"
"Cytotoxic",58,"image_1"
"Cytotoxic",59,"image_1"
"Cytotoxic",60,"image_1"
"Reg",61,"image_1"
"Cytotoxic",62,"image_1"
"Cytotoxic",63,"image_1"
"Cytotoxic",64,"image_1"
"Cytotoxic",65,"image_1"
"Cytotoxic",66,"image_1"
"Reg",67,"image_1"
"Reg",68,"image_1"
"Cytotoxic",69,"image_1"
"Cytotoxic",70,"image_1"
"Reg",71,"image_1"
"Reg",72,"image_1"
"Cytotoxic",73,"image_1"
"Cytotoxic",74,"image_1"
"Cytotoxic",75,"image_1"
"Cytotoxic",76,"image_1"
"Reg",77,"image_1"
"Cytotoxic",78,"image_1"
"Cytotoxic",79,"image_1"
"Cytotoxic",80,"image_1"
"Reg",81,"image_1"
"Cytotoxic",82,"image_1"
"Cytotoxic",83,"image_1"
"Cytotoxic",84,"image_1"
"Reg",85,"image_1"
"Cytotoxic",86,"image_1"
"Cytotoxic",87,"image_1"
"Reg",88,"image_1"
"Cytotoxic",89,"image_1"
"Cytotoxic",90,"image_1"
"Cytotoxic",91,"image_1"
"Cytotoxic",92,"image_1"
"Reg",93,"image_1"
"Cytotoxic",94,"image_1"
"Cytotoxic",95,"image_1"
"Cytotoxic",96,"image_1"
"Cytotoxic",97,"image_1"
"Cytotoxic",98,"image_1"
"Cytotoxic",99,"image_1"
"Cytotoxic",100,"image_1"
"Cytotoxic",101,"image_1"
"Cytotoxic",102,"image_1"
"Cytotoxic",103,"image_1"
"Cytotoxic",104,"image_1"
"Cytotoxic",105,"image_1"
"other",106,"image_1"
"Cytotoxic",107,"image_1"
"Cytotoxic",108,"image_1"
"Cytotoxic",109,"image_1"
"other",110,"image_1"
"Cytotoxic",111,"image_1"
"other",112,"image_1"
"Cytotoxic",113,"image_1"
"Cytotoxic",114,"image_1"
"other",115,"image_1"
"Cytotoxic",116,"image_1"
"Cytotoxic",117,"image_1"
"Cytotoxic",118,"image_1"
"Cytotoxic",119,"image_1"
"Reg",120,"image_1"
"Reg",121,"image_1"
"Cytotoxic",122,"image_1"
"Cytotoxic",123,"image_1"
"Cytotoxic",124,"image_1"
"Cytotoxic",125,"image_1"
"Cytotoxic",126,"image_1"
"Cytotoxic",127,"image_1"
"Cytotoxic",128,"image_1"
"Cytotoxic",129,"image_1"
"other",130,"image_1"
"Cytotoxic",131,"image_1"
"Cytotoxic",132,"image_1"
"Cytotoxic",133,"image_1"
"Cytotoxic",134,"image_1"
"Cytotoxic",135,"image_1"
"Reg",136,"image_1"
"Cytotoxic",137,"image_1"
"Reg",138,"image_1"
"Cytotoxic",139,"image_1"
"Cytotoxic",140,"image_1"
"Reg",141,"image_1"
"Cytotoxic",142,"image_1"
"Reg",143,"image_1"
"Reg",144,"image_1"
"Cytotoxic",145,"image_1"
"Cytotoxic",146,"image_1"
"Cytotoxic",147,"image_1"
"Reg",148,"image_1"
"Cytotoxic",149,"image_1"
"Cytotoxic",150,"image_1"
"Cytotoxic",151,"image_1"
"Cytotoxic",152,"image_1"
"Cytotoxic",153,"image_1"
"Cytotoxic",154,"image_1"
"other",155,"image_1"
"Cytotoxic",156,"image_1"
"Cytotoxic",157,"image_1"
"Cytotoxic",158,"image_1"
"Cytotoxic",159,"image_1"
"Cytotoxic",160,"image_1"
"Cytotoxic",161,"image_1"
"Cytotoxic",162,"image_1"
"Cytotoxic",163,"image_1"
"Cytotoxic",164,"image_1"
"Cytotoxic",165,"image_1"
"Cytotoxic",166,"image_1"
"Cytotoxic",167,"image_1"
"Cytotoxic",168,"image_1"
"Cytotoxic",169,"image_1"
"Cytotoxic",170,"image_1"
"Cytotoxic",171,"image_1"
"other",172,"image_1"
"Cytotoxic",173,"image_1"
"Cytotoxic",174,"image_1"
"Cytotoxic",175,"image_1"
"Cytotoxic",176,"image_1"
"Cytotoxic",177,"image_1"
"Cytotoxic",178,"image_1"
"Cytotoxic",179,"image_1"
"Reg",180,"image_1"
"Cytotoxic",181,"image_1"
"Cytotoxic",182,"image_1"
"Cytotoxic",183,"image_1"
"Cytotoxic",184,"image_1"
"Cytotoxic",185,"image_1"
"Cytotoxic",186,"image_1"
"Cytotoxic",187,"image_1"
"other",188,"image_1"
"Cytotoxic",189,"image_1"
"other",190,"image_1"
"other",191,"image_1"
"Cytotoxic",192,"image_1"
"Cytotoxic",193,"image_1"
"other",194,"image_1"
"Cytotoxic",195,"image_1"
"Tumor Cells",196,"image_1"
"Cytotoxic",197,"image_1"
